DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
2022-11-16 01:45:26.000,      2022-11-16,01:45:26    ,                   624.0
2022-11-16 01:44:26.000,      2022-11-16,01:44:26    ,                   621.0
2022-11-16 01:43:26.000,      2022-11-16,01:43:26    ,                   616.0
2022-11-16 01:42:26.000,      2022-11-16,01:42:26    ,                   611.0
2022-11-16 01:41:26.000,      2022-11-16,01:41:26    ,                   607.0
2022-11-16 01:40:26.000,      2022-11-16,01:40:26    ,                   607.0
2022-11-16 01:39:26.000,      2022-11-16,01:39:26    ,                   606.0
2022-11-16 01:38:26.000,      2022-11-16,01:38:26    ,                   605.0
2022-11-16 01:37:26.000,      2022-11-16,01:37:26    ,                   603.0
2022-11-16 01:36:26.000,      2022-11-16,01:36:26    ,                   600.0
2022-11-16 01:35:26.000,      2022-11-16,01:35:26    ,                   597.0
2022-11-16 01:34:26.000,      2022-11-16,01:34:26    ,                   595.0
2022-11-16 01:33:26.000,      2022-11-16,01:33:26    ,                   594.0
2022-11-16 01:32:26.000,      2022-11-16,01:32:26    ,                   593.0
2022-11-16 01:31:26.000,      2022-11-16,01:31:26    ,                   588.0
2022-11-16 01:30:26.000,      2022-11-16,01:30:26    ,                   587.0
2022-11-16 01:29:26.000,      2022-11-16,01:29:26    ,                   586.0
2022-11-16 01:28:26.000,      2022-11-16,01:28:26    ,                   583.0
2022-11-16 01:27:26.000,      2022-11-16,01:27:26    ,                   581.0
2022-11-16 01:26:26.000,      2022-11-16,01:26:26    ,                   579.0
2022-11-16 01:25:26.000,      2022-11-16,01:25:26    ,                   576.0
2022-11-16 01:24:26.000,      2022-11-16,01:24:26    ,                   571.0
2022-11-16 01:23:26.000,      2022-11-16,01:23:26    ,                   566.0
2022-11-16 01:22:26.000,      2022-11-16,01:22:26    ,                   561.0
2022-11-16 01:21:26.000,      2022-11-16,01:21:26    ,                   556.0
2022-11-16 01:20:26.000,      2022-11-16,01:20:26    ,                   551.0
2022-11-16 01:19:26.000,      2022-11-16,01:19:26    ,                   547.0
2022-11-16 01:18:26.000,      2022-11-16,01:18:26    ,                   546.0
2022-11-16 01:17:26.000,      2022-11-16,01:17:26    ,                   543.0
2022-11-16 01:16:26.000,      2022-11-16,01:16:26    ,                   539.0
2022-11-16 01:15:26.000,      2022-11-16,01:15:26    ,                   536.0
2022-11-16 01:14:26.000,      2022-11-16,01:14:26    ,                   531.0
2022-11-16 01:13:26.000,      2022-11-16,01:13:26    ,                   528.0
2022-11-16 01:12:26.000,      2022-11-16,01:12:26    ,                   526.0
2022-11-16 01:11:26.000,      2022-11-16,01:11:26    ,                   524.0
2022-11-16 01:10:26.000,      2022-11-16,01:10:26    ,                   522.0
2022-11-16 01:09:26.000,      2022-11-16,01:09:26    ,                   519.0
2022-11-16 01:08:26.000,      2022-11-16,01:08:26    ,                   517.0
2022-11-16 01:07:26.000,      2022-11-16,01:07:26    ,                   515.0
2022-11-16 01:06:26.000,      2022-11-16,01:06:26    ,                   513.0
2022-11-16 01:05:26.000,      2022-11-16,01:05:26    ,                   509.0
2022-11-16 01:04:26.000,      2022-11-16,01:04:26    ,                   505.0
2022-11-16 01:03:26.000,      2022-11-16,01:03:26    ,                   504.0
2022-11-16 01:02:26.000,      2022-11-16,01:02:26    ,                   501.0
2022-11-16 01:01:26.000,      2022-11-16,01:01:26    ,                   496.0
2022-11-16 01:00:26.000,      2022-11-16,01:00:26    ,                   496.0
2022-11-16 00:59:26.000,      2022-11-16,00:59:26    ,                   494.0
2022-11-16 00:58:26.000,      2022-11-16,00:58:26    ,                   492.0
2022-11-16 00:57:26.000,      2022-11-16,00:57:26    ,                   490.0
2022-11-16 00:56:26.000,      2022-11-16,00:56:26    ,                   484.0
2022-11-16 00:55:26.000,      2022-11-16,00:55:26    ,                   482.0
2022-11-16 00:54:26.000,      2022-11-16,00:54:26    ,                   480.0
2022-11-16 00:53:26.000,      2022-11-16,00:53:26    ,                   478.0
2022-11-16 00:52:26.000,      2022-11-16,00:52:26    ,                   476.0
2022-11-16 00:51:26.000,      2022-11-16,00:51:26    ,                   474.0
2022-11-16 00:50:26.000,      2022-11-16,00:50:26    ,                   472.0
2022-11-16 00:49:26.000,      2022-11-16,00:49:26    ,                   471.0
2022-11-16 00:48:26.000,      2022-11-16,00:48:26    ,                   470.0
2022-11-16 00:47:26.000,      2022-11-16,00:47:26    ,                   466.0
2022-11-16 00:46:26.000,      2022-11-16,00:46:26    ,                   464.0
2022-11-16 00:45:26.000,      2022-11-16,00:45:26    ,                   463.0
2022-11-16 00:44:26.000,      2022-11-16,00:44:26    ,                   459.0
2022-11-16 00:43:26.000,      2022-11-16,00:43:26    ,                   457.0
2022-11-16 00:42:26.000,      2022-11-16,00:42:26    ,                   455.0
2022-11-16 00:41:26.000,      2022-11-16,00:41:26    ,                   451.0
2022-11-16 00:40:26.000,      2022-11-16,00:40:26    ,                   447.0
